instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,hr,season_str,temp_scaled,atemp_scaled,hum_scaled,windspeed_scaled
1,2011-01-01,1,0,1,0,6,0,Cloudy,0.344167,0.363625,0.805833,0.160446,331,654,985,0,Springer,0.8394317073170732,0.72725,0.805833,0.2394716417910448
2,2011-01-02,1,0,1,0,0,0,Cloudy,0.363478,0.353739,0.696087,0.248539,131,670,801,0,Springer,0.8865317073170733,0.707478,0.696087,0.3709537313432836
3,2011-01-03,1,0,1,0,1,1,Sunny,0.196364,0.189405,0.437273,0.248309,120,1229,1349,0,Springer,0.47893658536585365,0.37881,0.437273,0.37061044776119406
4,2011-01-04,1,0,1,0,2,1,Sunny,0.2,0.212122,0.590435,0.160296,108,1454,1562,0,Springer,0.4878048780487805,0.424244,0.590435,0.23924776119402985
5,2011-01-05,1,0,1,0,3,1,Sunny,0.226957,0.22927,0.436957,0.1869,82,1518,1600,0,Springer,0.5535536585365853,0.45854,0.436957,0.27895522388059707
6,2011-01-06,1,0,1,0,4,1,Sunny,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,0,Springer,0.49840975609756094,0.46641800000000005,0.518261,0.13367940298507464
7,2011-01-07,1,0,1,0,5,1,Cloudy,0.196522,0.208839,0.498696,0.168726,148,1362,1510,0,Springer,0.4793219512195122,0.417678,0.498696,0.2518298507462686
8,2011-01-08,1,0,1,0,6,0,Cloudy,0.165,0.162254,0.535833,0.266804,68,891,959,0,Springer,0.4024390243902439,0.324508,0.535833,0.3982149253731343
9,2011-01-09,1,0,1,0,0,0,Sunny,0.138333,0.116175,0.434167,0.36195,54,768,822,0,Springer,0.3373975609756098,0.23235,0.4341670000000001,0.540223880597015
10,2011-01-10,1,0,1,0,1,1,Sunny,0.150833,0.150888,0.482917,0.223267,41,1280,1321,0,Springer,0.3678853658536585,0.301776,0.482917,0.33323432835820893
11,2011-01-11,1,0,1,0,2,1,Cloudy,0.169091,0.191464,0.686364,0.122132,43,1220,1263,0,Springer,0.41241707317073173,0.382928,0.686364,0.18228656716417913
12,2011-01-12,1,0,1,0,3,1,Sunny,0.172727,0.160473,0.599545,0.304627,25,1137,1162,0,Springer,0.42128536585365856,0.320946,0.599545,0.4546671641791044
13,2011-01-13,1,0,1,0,4,1,Sunny,0.165,0.150883,0.470417,0.301,38,1368,1406,0,Springer,0.4024390243902439,0.301766,0.470417,0.44925373134328356
14,2011-01-14,1,0,1,0,5,1,Sunny,0.16087,0.188413,0.537826,0.126548,54,1367,1421,0,Springer,0.39236585365853666,0.376826,0.537826,0.18887761194029848
15,2011-01-15,1,0,1,0,6,0,Cloudy,0.233333,0.248112,0.49875,0.157963,222,1026,1248,0,Springer,0.5691048780487805,0.496224,0.4987500000000001,0.23576567164179102
16,2011-01-16,1,0,1,0,0,0,Sunny,0.231667,0.234217,0.48375,0.188433,251,953,1204,0,Springer,0.5650414634146341,0.468434,0.48374999999999996,0.2812432835820895
17,2011-01-17,1,0,1,1,1,0,Cloudy,0.175833,0.176771,0.5375,0.194017,117,883,1000,0,Springer,0.4288609756097561,0.353542,0.5375,0.2895776119402985
18,2011-01-18,1,0,1,0,2,1,Cloudy,0.216667,0.232333,0.861667,0.146775,9,674,683,0,Springer,0.5284560975609756,0.464666,0.861667,0.21906716417910446
19,2011-01-19,1,0,1,0,3,1,Cloudy,0.292174,0.298422,0.741739,0.208317,78,1572,1650,0,Springer,0.7126195121951219,0.596844,0.741739,0.31092089552238805
20,2011-01-20,1,0,1,0,4,1,Cloudy,0.261667,0.25505,0.538333,0.195904,83,1844,1927,0,Springer,0.6382121951219513,0.5101,0.538333,0.29239402985074625
21,2011-01-21,1,0,1,0,5,1,Sunny,0.1775,0.157833,0.457083,0.353242,75,1468,1543,0,Springer,0.4329268292682926,0.315666,0.4570830000000001,0.5272268656716418
22,2011-01-22,1,0,1,0,6,0,Sunny,0.0591304,0.0790696,0.4,0.17197,93,888,981,0,Springer,0.14422048780487806,0.1581392,0.4,0.2566716417910448
23,2011-01-23,1,0,1,0,0,0,Sunny,0.0965217,0.0988391,0.436522,0.2466,150,836,986,0,Springer,0.2354187804878049,0.19767819999999997,0.436522,0.3680597014925373
24,2011-01-24,1,0,1,0,1,1,Sunny,0.0973913,0.11793,0.491739,0.15833,86,1330,1416,0,Springer,0.23753975609756098,0.23586,0.491739,0.2363134328358209
25,2011-01-25,1,0,1,0,2,1,Cloudy,0.223478,0.234526,0.616957,0.129796,186,1799,1985,0,Springer,0.5450682926829269,0.469052,0.616957,0.19372537313432836
26,2011-01-26,1,0,1,0,3,1,Rainy,0.2175,0.2036,0.8625,0.29385,34,472,506,0,Springer,0.5304878048780488,0.4072,0.8625,0.4385820895522388
27,2011-01-27,1,0,1,0,4,1,Sunny,0.195,0.2197,0.6875,0.113837,15,416,431,0,Springer,0.47560975609756095,0.4394,0.6875,0.1699059701492537
28,2011-01-28,1,0,1,0,5,1,Cloudy,0.203478,0.223317,0.793043,0.1233,38,1129,1167,0,Springer,0.4962878048780488,0.44663400000000003,0.793043,0.18402985074626865
29,2011-01-29,1,0,1,0,6,0,Sunny,0.196522,0.212126,0.651739,0.145365,123,975,1098,0,Springer,0.4793219512195122,0.4242520000000001,0.651739,0.21696268656716416
30,2011-01-30,1,0,1,0,0,0,Sunny,0.216522,0.250322,0.722174,0.0739826,140,956,1096,0,Springer,0.5281024390243902,0.500644,0.722174,0.1104217910447761
31,2011-01-31,1,0,1,0,1,1,Cloudy,0.180833,0.18625,0.60375,0.187192,42,1459,1501,0,Springer,0.44105609756097564,0.3725,0.60375,0.2793910447761194
32,2011-02-01,1,0,2,0,2,1,Cloudy,0.192174,0.23453,0.829565,0.053213,47,1313,1360,0,Springer,0.46871707317073175,0.46906,0.829565,0.07942238805970149
33,2011-02-02,1,0,2,0,3,1,Cloudy,0.26,0.254417,0.775417,0.264308,72,1454,1526,0,Springer,0.6341463414634146,0.508834,0.775417,0.39448955223880594
34,2011-02-03,1,0,2,0,4,1,Sunny,0.186957,0.177878,0.437826,0.277752,61,1489,1550,0,Springer,0.45599268292682926,0.355756,0.437826,0.414555223880597
35,2011-02-04,1,0,2,0,5,1,Cloudy,0.211304,0.228587,0.585217,0.127839,88,1620,1708,0,Springer,0.5153756097560975,0.457174,0.585217,0.1908044776119403
36,2011-02-05,1,0,2,0,6,0,Cloudy,0.233333,0.243058,0.929167,0.161079,100,905,1005,0,Springer,0.5691048780487805,0.486116,0.929167,0.24041641791044777
