instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,season_str,temp_scaled,atemp_scaled,hum_scaled,windspeed_scaled
1,2011-01-01,1,0,1,0,0,6,0,Sunny,0.24,0.2879,0.81,0.0,3,13,16,Springer,0.5853658536585366,0.5758,0.8100000000000002,0.0
2,2011-01-01,1,0,1,1,0,6,0,Sunny,0.22,0.2727,0.8,0.0,8,32,40,Springer,0.5365853658536586,0.5454,0.8,0.0
3,2011-01-01,1,0,1,2,0,6,0,Sunny,0.22,0.2727,0.8,0.0,5,27,32,Springer,0.5365853658536586,0.5454,0.8,0.0
4,2011-01-01,1,0,1,3,0,6,0,Sunny,0.24,0.2879,0.75,0.0,3,10,13,Springer,0.5853658536585366,0.5758,0.75,0.0
5,2011-01-01,1,0,1,4,0,6,0,Sunny,0.24,0.2879,0.75,0.0,0,1,1,Springer,0.5853658536585366,0.5758,0.75,0.0
6,2011-01-01,1,0,1,5,0,6,0,Cloudy,0.24,0.2576,0.75,0.0896,0,1,1,Springer,0.5853658536585366,0.5152,0.75,0.1337313432835821
7,2011-01-01,1,0,1,6,0,6,0,Sunny,0.22,0.2727,0.8,0.0,2,0,2,Springer,0.5365853658536586,0.5454,0.8,0.0
8,2011-01-01,1,0,1,7,0,6,0,Sunny,0.2,0.2576,0.86,0.0,1,2,3,Springer,0.4878048780487805,0.5152,0.86,0.0
9,2011-01-01,1,0,1,8,0,6,0,Sunny,0.24,0.2879,0.75,0.0,1,7,8,Springer,0.5853658536585366,0.5758,0.75,0.0
10,2011-01-01,1,0,1,9,0,6,0,Sunny,0.32,0.3485,0.76,0.0,8,6,14,Springer,0.7804878048780488,0.697,0.76,0.0
11,2011-01-01,1,0,1,10,0,6,0,Sunny,0.38,0.3939,0.76,0.2537,12,24,36,Springer,0.9268292682926829,0.7878,0.76,0.37865671641791043
12,2011-01-01,1,0,1,11,0,6,0,Sunny,0.36,0.3333,0.81,0.2836,26,30,56,Springer,0.8780487804878048,0.6666,0.8100000000000002,0.42328358208955225
13,2011-01-01,1,0,1,12,0,6,0,Sunny,0.42,0.4242,0.77,0.2836,29,55,84,Springer,1.024390243902439,0.8484,0.77,0.42328358208955225
14,2011-01-01,1,0,1,13,0,6,0,Cloudy,0.46,0.4545,0.72,0.2985,47,47,94,Springer,1.1219512195121952,0.909,0.72,0.4455223880597015
